Lexical class,English word,Experiment 1 (written words),Experiment 2 (spoken words),Experiment 5 (alien accuracy)
verb,hold,0.846153846,0.272727273,38.27272727
verb,hug,2,1.6,59.27272727
verb,hurry,0.75,2.25,41
verb,jump,1,1.363636364,53.58823529
verb,kick,1.95,2.153846154,62.09090909
verb,kiss,1.25,1.666666667,45.75
verb,knock,3.0625,3.916666667,44.06666667
verb,lick,1.166666667,1.615384615,45.21052632
verb,like,-0.333333333,0.5,36.04545455
verb,listen,0.75,1.1875,28.9
verb,look,1.818181818,1.4,38.15384615
verb,love,1.125,1.083333333,49.1
verb,make,0.642857143,0.818181818,34.86666667
verb,nap,1.272727273,0.4,51.66666667
verb,open,1.1,1.2,54.16666667
verb,paint,1.727272727,0.785714286,33.06666667
verb,pick,2.076923077,2.071428571,37.91666667
verb,play,1.083333333,0.769230769,47.63636364
verb,please,0.6,1.727272727,26.71428571
verb,pour,1.3,-0.916666667,35
verb,pretend,-1,0.153846154,22.69230769
verb,pull,2.083333333,1.928571429,35.9
verb,push,2.333333333,2.4,55.38461538
verb,put,1.230769231,0.3,33.66666667
verb,read,0.090909091,1.6,23.6
verb,ride,1.166666667,0.818181818,19.10526316
verb,rip,3.736842105,2.933333333,45.76923077
verb,run,0.909090909,0.333333333,43.2
verb,say,0.8,1.6,46
verb,see,1.272727273,0.5,46.25
verb,shake,2.615384615,0.727272727,62.8
verb,share,-0.444444444,-0.7,31.18181818
verb,show,0.846153846,1.25,27
verb,sing,1.7,1.4,46.22727273
verb,sit,0.866666667,2.076923077,57.69230769
verb,skate,1.416666667,1.5,31.90909091
verb,sleep,0.769230769,0.8,45.83333333
verb,smile,1.727272727,2.8,55.38461538
verb,spill,1.916666667,1.5,26
verb,splash,3.5,3.692307692,58.16666667
verb,stand,1.5,1.8,41.8
verb,stay,0.833333333,1.416666667,50.83333333
verb,stop,2.5,2.4,44.5
verb,sweep,3.235294118,2.428571429,23.53846154
verb,swim,1,0.846153846,44.76923077
verb,take,1.2,1.7,62.3
verb,talk,0.214285714,0.9,42.58333333
verb,taste,1.142857143,0.923076923,27.63636364
verb,tear,0.555555556,1.833333333,31.5
verb,think,0.363636364,0.909090909,28.2
verb,throw,0.785714286,1.4,35.9
verb,tickle,2.142857143,2.307692308,37.7
verb,touch,0.823529412,0.785714286,35.42105263
verb,turn,0,1.363636364,26.4
verb,wait,-0.5,-0.875,33.45454545
verb,wake,-0.181818182,0.466666667,30.84210526
verb,walk,0.727272727,0.230769231,35.25
verb,wash,1.461538462,1.5,45.33333333
verb,wipe,2,1.454545455,30.5
verb,wish,2.181818182,-0.6,33.8
verb,write,1.181818182,-1.266666667,34.68421053
